,LMCache 0.4.2,LMCache 0.4.1,LMCache 0.3.15,LMCache 0.3.14,LMCache 0.3.13,LMCache 0.3.12,LMCache 0.3.11,LMCache 0.3.10,LMCache 0.3.9,LMCache 0.3.7,LMCache 0.3.6,LMCache 0.3.5,LMCache 0.3.4,LMCache 0.3.3,LMCache 0.3.2
vLLM 0.18.0.x,✅,🕯️,🕯️,🕯️,🕯️,🕯️,🕯️,🕯️,-,-,-,-,-,-,-
vLLM 0.17.1.x,✅,🕯️,🕯️,🕯️,🕯️,🕯️,🕯️,🕯️,-,-,-,-,-,-,-
vLLM 0.17.0.x,✅,🕯️,🕯️,🕯️,🕯️,🕯️,🕯️,🕯️,-,-,-,-,-,-,-
vLLM 0.16.0.x,🕯️,✅,✅,✅,✅,✅,✅,✅,-,-,-,-,-,-,-
vLLM 0.15.1.x,🕯️,✅,✅,✅,✅,✅,✅,✅,-,-,-,-,-,-,-
vLLM 0.15.0.x,🕯️,✅,✅,✅,✅,✅,✅,✅,-,-,-,-,-,-,-
vLLM 0.14.1.x,🕯️,✅,✅,✅,✅,✅,✅,✅,-,-,-,-,-,-,-
vLLM 0.14.0.x,🕯️,✅,✅,✅,✅,✅,✅,✅,-,-,-,-,-,-,-
vLLM 0.13.0.x,🕯️,✅,✅,✅,✅,✅,✅,✅,-,-,-,-,-,-,-
vLLM 0.12.0.x,🕯️,✅,✅,✅,✅,✅,✅,✅,-,-,-,-,-,-,-
vLLM 0.11.x,-,-,-,-,-,-,-,-,✅,❌,❌,❌,-,❌,❌
vLLM 0.10.2.x,-,-,-,-,-,-,-,-,✅,✅,✅,🕯️,✅,🕯️,🕯️
vLLM 0.10.1.x,-,-,-,-,-,-,-,-,🕯️,🕯️,❌,✅,🕯️,✅,✅
vLLM 0.10.0.x,-,-,-,-,-,-,-,-,🕯️,🕯️,❌,✅,🕯️,✅,✅
vLLM 0.9.2.x,-,-,-,-,-,-,-,-,🕯️,🕯️,❌,✅,🕯️,✅,✅
vLLM 0.9.1.x,-,-,-,-,-,-,-,-,🕯️,🕯️,❌,✅,🕯️,✅,✅
vLLM 0.9.0.x,-,-,-,-,-,-,-,-,🕯️,🕯️,❌,✅,🕯️,✅,✅
vLLM 0.8.5.x,-,-,-,-,-,-,-,-,🕯️,🕯️,❌,✅,🕯️,✅,✅
